*.asn	ASN.1
*.asn1	ASN.1
*.asp	Classic ASP
*.aspx	ASP.NET
*.asset	Unity3D Asset
*.astro	Astro
*.asy	Asymptote
*.asy	LTspice Symbol
*.au3	AutoIt
*.aug	Augeas
*.auk	Awk
*.aux	TeX
*.avdl	Avro IDL
*.avsc	JSON
*.aw	PHP
*.awk	Awk
*.axaml	XML
*.axd	ASP.NET
*.axi	NetLinx
*.axi.erb	NetLinx+ERB
*.axml	XML
*.axs	NetLinx
*.axs.erb	NetLinx+ERB
*.b	Brainfuck
*.b	Limbo
*.bal	Ballerina
*.bas	B4X
*.bas	BASIC
*.bas	FreeBASIC
*.bas	QuickBASIC
*.bas	VBA
*.bas	Visual Basic 6.0
*.bash	Shell
*.bat	Batchfile
*.bats	Shell
*.bb	BitBake
*.bb	BlitzBasic
*.bb	Clojure
*.bbappend	BitBake
*.bbclass	BitBake
*.bbx	TeX
*.bdf	Glyph Bitmap Distribution Format
*.bdy	PLSQL
*.be	Berry
*.befunge	Befunge
*.bf	Beef
*.bf	Befunge
*.bf	Brainfuck
*.bf	HyPhy
*.bi	FreeBASIC
*.bi	QuickBASIC
*.bib	BibTeX
*.bibtex	BibTeX
*.bicep	Bicep
*.bicepparam	Bicep
*.bison	Bison
*.blade	Blade
*.blade.php	Blade
*.bmx	BlitzMax
*.bones	JavaScript
*.boo	Boo
*.boot	Clojure
*.bpl	Boogie
*.bqn	BQN
*.brd	Eagle
*.brd	KiCad Legacy Layout
*.bro	Zeek
*.brs	Brightscript
*.bru	Bru
*.bs	Bikeshed
*.bs	Bluespec BH
*.bs	BrighterScript
*.bsl	1C Enterprise
*.bst	BibTeX Style
*.bst	BuildStream
*.bsv	Bluespec
*.builder	Ruby
*.builds	XML
*.bzl	Starlark
*.c	C
*.c-objdump	C-ObjDump
*.c++	C++
*.c++-objdump	Cpp-ObjDump
*.c++objdump	Cpp-ObjDump
*.c3	C3
*.cabal	Cabal Config
*.caddyfile	Caddyfile
*.cairo	Cairo
*.cairo	Cairo Zero
*.cake	C#
*.cake	CoffeeScript
*.capnp	Cap'n Proto
*.carbon	Carbon
*.cats	C
*.cbl	COBOL
*.cbx	TeX
*.cc	C++
*.ccp	COBOL
*.ccproj	XML
*.ccxml	XML
*.cdc	Cadence
*.cdf	Wolfram Language
*.cds	CAP CDS
*.ceylon	Ceylon
*.cfc	ColdFusion CFC
*.cfg	HAProxy
*.cfg	INI
*.cfm	ColdFusion
*.cfml	ColdFusion
*.cgi	Perl
*.cgi	Python
*.cgi	Shell
*.cginc	HLSL
*.ch	Charity
*.ch	xBase
*.chem	Pic
*.chpl	Chapel
*.chs	C2hs Haskell
*.cil	CIL
*.circom	Circom
*.cirru	Cirru
*.cj	Cangjie
*.cjs	JavaScript
*.cjsx	CoffeeScript
*.ck	ChucK
*.cl	Common Lisp
*.cl	Cool
*.cl	OpenCL
*.cl2	Clojure
*.clar	Clarity
*.click	Click
*.clixml	XML
*.clj	Clojure
*.cljc	Clojure
*.cljs	Clojure
*.cljs.hl	Clojure
*.cljscm	Clojure
*.cljx	Clojure
*.clp	CLIPS
*.cls	Apex
